OBJECTID,Neighborhood,LAPD_Cost,LAPD_Days in Jail,LAPD_Arrests,LASD_Cost,LASD_Days in Jail,LASD_Arrests,2010 Population,Combo_Cost,Combo_Cost_PerPop,Combo_Days,Combo_Days_PerPop,Combo_Arrests,Combo_Arrests_PerPop,spa,sup_dist,Shape__Area,Shape__Length
1,Acton,25282,110,51,1103120,7367,396,6128,1128402,184.138707571802,7477,1.22013707571802,447,0.072943864229765,SPA 1 - Antelope Valley,District 5,1096711174.83203,179822.468865758
2,Agoura Hills,83892,365,216,587038,3288,470,17147,670930,39.1281273692191,3653,0.213040181956027,686,0.0400069983087421,SPA 2 - San Fernando,District 3,227118594.130859,82596.2026977214
3,Agua Dulce,10573,46,23,377880,2513,140,21499,388453,18.0684217870599,2559,0.119028792036839,163,0.00758174798827852,SPA 1 - Antelope Valley,District 5,877127647.651367,144935.193635646
4,Alhambra,301550,1312,647,2444920,16637,751,3535,2746470,776.936350777935,17949,5.07751060820368,1398,0.395473833097595,SPA 3 - San Gabriel,District 1,212539697.530273,69809.2042985743
5,Alondra Park,55621,242,112,667093,4244,326,83089,722714,8.69807074341971,4486,0.0539902995583049,438,0.00527145590872438,SPA 8 - South Bay,District 2,31778420.6816406,26478.2134642197
6,Altadena,221106,962,455,4779990,31710,1803,8557,5001096,584.445015776557,32672,3.81816057029333,2258,0.263877527170737,SPA 3 - San Gabriel,District 5,242830224.297852,97894.8685112307
7,Angeles Crest,0,0,0,21656,127,15,42356,21656,0.511285296061951,127,0.00299839456039286,15,0.00035414108981018,SPA 3 - San Gabriel,District 5,12001021023.5996,679104.079083431
8,Arcadia,63666,277,157,467051,2889,262,542,530717,979.182656826568,3166,5.84132841328413,419,0.773062730627306,SPA 3 - San Gabriel,District 5,310866309.369141,133366.897490173
9,Arleta,206856,900,429,465231,3207,126,56668,672087,11.8600797628291,4107,0.07247476529964,555,0.00979388720265405,SPA 2 - San Fernando,District 3,86316501.3984375,41121.3353124839
10,Artesia,28500,124,60,2758390,18178,1090,16522,2786890,168.677520881249,18302,1.10773514102409,1150,0.0696041641447767,SPA 7 - East,District 4,45503231.0205078,40922.0700272193
11,Atwater Village,286381,1246,607,128149,829,57,11982,414530,34.5960607578034,2075,0.173176431313637,664,0.0554164580203639,SPA 4 - Metro,District 1,49536949.8769531,41343.4101874983
12,Avalon,2528,11,5,521425,3229,291,3569,523953,146.806668534604,3240,0.907817315774727,296,0.0829363967497899,SPA 8 - South Bay,District 4,76517735.9394531,56490.7000243495
13,Avocado Heights,34706,151,70,4167110,28017,1419,12079,4201816,347.861246791953,28168,2.33198112426525,1489,0.123271794022684,SPA 3 - San Gabriel,District 1,82198299.5214844,87079.8298663036
14,Azusa,61137,266,131,3205300,21271,1206,43729,3266437,74.6972718333371,21537,0.492510690845892,1337,0.0305746758444053,SPA 3 - San Gabriel,District 1,275199769.430664,149560.08549691
15,Baldwin Park,129400,563,277,6320570,42906,1984,74506,6449970,86.5698064585403,43469,0.583429522454567,2261,0.0303465492711996,SPA 3 - San Gabriel,District 1,188960203.243164,87243.1634646635
16,Bel-Air,41831,182,113,14772,75,15,8261,56603,6.85183391841181,257,0.0311100351047089,128,0.0154944921922285,SPA 5 - West,District 3,177677964.960938,64300.6862484907
17,Bell,187090,814,403,2869740,19007,1095,35643,3056830,85.7624217939006,19821,0.556097971551216,1498,0.0420278876637769,SPA 7 - East,District 4,71202221.2861328,66160.9607324721
18,Bellflower,299711,1304,617,14077000,92202,5795,76616,14376711,187.646327137935,93506,1.22045003654589,6412,0.0836900908426438,SPA 7 - East,District 4,172715337.55957,59174.2414572487
19,Bell Gardens,178126,775,378,3072030,20235,1218,41571,3250156,78.1832527483101,21010,0.505400399316831,1596,0.0383921483726636,SPA 7 - East,District 4,69146375.2304688,39055.4892345622
20,Beverly Crest,88488,385,215,41272,202,45,10347,129760,12.5408330917174,587,0.0567314197351889,260,0.0251280564414806,SPA 5 - West,District 3,229609044.038086,93915.7009475445
21,Beverly Grove,212372,924,519,157162,914,112,20998,369534,17.5985331936375,1838,0.0875321459186589,631,0.0300504809981903,SPA 4 - Metro,District 3,45962637.5439453,45564.5595216353
22,Beverly Hills,190537,829,503,465616,3166,144,34109,656153,19.2369462605178,3995,0.117124512591985,647,0.0189686006625817,SPA 5 - West,District 3,158969329.804688,87518.2779344612
23,Beverlywood,37924,165,80,26628,167,14,5391,64552,11.9740307920608,332,0.0615841216842886,94,0.0174364681877203,SPA 5 - West,District 3,22144974.4951172,20475.4469552579
24,Boyle Heights,4107241,17870,7527,6579180,43274,2634,90048,10686421,118.674717928216,61144,0.679015636105188,10161,0.112839818763326,SPA 4 - Metro,District 1,181739397.615234,58425.9529992494
25,Bradbury,4597,20,8,30022,178,20,1292,34619,26.7948916408669,198,0.153250773993808,28,0.021671826625387,SPA 3 - San Gabriel,District 5,53761312.1835938,35942.2370815604
26,Brentwood,186170,810,483,55896,271,62,32540,242066,7.43902888752305,1081,0.033220651505839,545,0.0167486170866626,SPA 5 - West,District 3,424412346.705078,121045.935656443
27,Burbank,926945,4033,2081,986142,6598,349,103340,1913087,18.512550803174,10631,0.102874008128508,2430,0.0235146119605187,SPA 2 - San Fernando,District 5,483462717.240234,102001.004706376
28,Calabasas,133307,580,352,627260,3726,415,24159,760567,31.4817252369717,4306,0.178235854133035,767,0.031748002814686,SPA 2 - San Fernando,District 3,516938283.949219,139076.797404174
29,Canoga Park,3452886,15023,7030,595681,3546,391,58943,4048567,68.6861374548292,18569,0.31503316763653,7421,0.12590129447093,SPA 2 - San Fernando,District 3,121229700.776367,51030.2509634741
30,Carson,689290,2999,1358,19126800,125879,7627,91800,19816090,215.861546840959,128878,1.40389978213508,8985,0.0978758169934641,SPA 8 - South Bay,District 2,533859770.834961,130812.683261859
31,Carthay,69182,301,150,186617,1217,79,5068,255799,50.473362273086,1518,0.299526440410418,229,0.0451854775059195,SPA 4 - Metro,District 2,14069549.265625,15325.2248293831
32,Castaic,72170,314,155,1550800,9734,812,13194,1622970,123.008185538881,10048,0.761558284068516,967,0.0732908897983932,SPA 2 - San Fernando,District 5,152678121.024414,93972.3382008006
33,Castaic Canyons,66654,290,147,1718850,11062,788,42023,1785504,42.48873236085,11352,0.270137781690979,935,0.0222497203912143,SPA 2 - San Fernando,District 5,5372240023.25781,623313.665927427
34,Century City,45738,199,115,24536,139,19,5713,70274,12.3007176614738,338,0.0591633117451427,134,0.0234552774374234,SPA 5 - West,District 3,19531919.5712891,18238.9548288633
35,Cerritos,53093,231,127,2022180,12663,1071,49041,2075273,42.3171020166799,12894,0.262922860463694,1198,0.0244285393854122,SPA 7 - East,District 4,246953932.966797,119797.464438082
36,Charter Oak,16089,70,34,1281480,8729,390,10070,1297569,128.854915590864,8799,0.873783515392254,424,0.0421052631578947,SPA 3 - San Gabriel,District 5,25691090.1708984,56860.1764894198
37,Chatsworth,1099095,4782,2342,601190,3773,315,44264,1700285,38.4123667088379,8555,0.19327218507139,2657,0.0600262063979758,SPA 2 - San Fernando,District 3,424966992.493164,140638.146563142
38,Chatsworth Reservoir,2758,12,8,1763,6,3,8,4521,565.125,18,2.25,11,1.375,SPA 2 - San Fernando,District 3,50211579.3896484,37138.8643743102
39,Cheviot Hills,44359,193,97,20671,122,14,9023,65030,7.20713731574864,315,0.034910783553142,111,0.0123018951568215,SPA 5 - West,District 3,42833294.4013672,26750.272681403
40,Chinatown,294885,1283,565,174125,1108,85,16437,469010,28.5337957048123,2391,0.145464500821318,650,0.0395449291233193,SPA 4 - Metro,District 1,25351693.4619141,23500.4747510485
41,Citrus,18847,82,38,2143790,14372,747,17532,2162637,123.353696098563,14454,0.824435318275154,785,0.0447752680812229,SPA 3 - San Gabriel,District 1,28200413.3056641,56465.1918684647
42,Claremont,19766,86,46,193601,1099,149,37361,213367,5.71095527421643,1185,0.0317175664462943,195,0.0052193463772383,SPA 3 - San Gabriel,District 5,464501058.518555,134386.923626601
